γ1,γ2,mean_profit,variance_profit
22,25,4085.6465077371063,782575.6941580884
22,26,4423.2132983587135,949978.539232583
22,27,4863.297823588488,1165279.3470660264
22,28,5307.363365008137,1369630.707796262
22,29,5543.334544082269,1568524.7906307604
22,30,5563.151514337499,1748020.6624081184
23,25,4687.518576434072,1040115.6648489905
23,26,5108.963178737079,1236930.5685798074
23,27,5538.141950102171,1437236.005042749
23,28,5749.803370841264,1646595.088922648
23,29,5710.581439221249,1827831.9499883915
23,30,5592.6713310421,1908531.4473440694
24,25,5315.538994788939,1300789.964257658
24,26,5708.391359035371,1478489.7830443636
24,27,5904.366185153219,1676714.2453126719
24,28,5840.423009264684,1842323.7651970084
24,29,5682.914122269835,1907884.4451504857
24,30,5541.937544378472,1925566.2639169542
25,26,5985.26934907518,1675605.0100101877
25,27,5945.624731535501,1825515.6795865411
25,28,5784.336745296968,1888218.9798153602
25,29,5617.8013479721,1905207.3046106256
25,30,5484.649544960249,1910752.579568005
26,27,5874.478256988982,1861785.3458203897
26,28,5709.089569127993,1882835.9500157982
26,29,5555.368710504615,1890564.9729498185
26,30,5432.949506319755,1893950.1933915776
